#1|lemma	meta|date	meta|lang_area	count
Würzelchen	1840	NA	1
Hütchen	1482	obd	1
Hausgärtlein	1609	md	1
Schößlein	1539	md	1
Schößlein	1696	NA	1
Schößlein	1828	NA	1
Traktätlein	1603	md	1
Leberlein	1588	obd	1
Büchenholzaschen	1588	NA	1
Kräuterbüchlein	1609	md	1
Kräuterbüchlein	1588	obd	1
Kräuterbüchlein	1609	obd	1
Werklein	1588	obd	1
Männlein	1639	obd	1
Johannisträublein	1735	NA	1
Kleeblättlein	1487	obd	1
Amylum-Kügelchen	1840	NA	1
Kräutlein	1550	NA	1
Kräutlein	1563	md	1
Kräutlein	1696	NA	1
Kräutlein	1719	NA	1
Kräutlein	1487	obd	1
Kräutlein	1662	obd	1
Lache|Lachen	1539	md	1
Lache|Lachen	1609	md	1
Lache|Lachen	1482	obd	1
Großäderlein	1735	NA	1
Leibesgebrechen	1588	NA	1
Pflästerlein	1532	md	1
Stänglein	1532	md	1
Stänglein	1588	NA	1
Stänglein	1719	NA	1
Stänglein	1588	obd	1
Stänglein	1662	obd	1
Verbrechen	1821	NA	1
Messerlein	1639	obd	1
Infusionstierchen	1843	NA	1
Tertianischen	1532	md	1
Stechen	1550	NA	1
Gränchen	1588	NA	1
Waldenburgischen	1722	NA	1
Becherlein	1557	md	1
Blumensträußlein	1719	NA	1
Kindelein	1482	obd	1
Ihresgleichen	1609	md	1
Näglein	1539	md	1
Näglein	1588	NA	1
Näglein	1673	NA	1
Küglein	1588	NA	1
Ringlein	1609	md	1
Nervensiechen	1793	NA	1
Büttelein	1639	obd	1
Kännlein	1603	md	1
Kügelchen	1821	NA	1
Kügelchen	1843	NA	1
Wiedröslein	1793	NA	1
Zimtröhrlein	1532	md	1
Häuslein	1588	NA	1
Häuslein	1696	NA	1
Badstüblein	1603	md	1
Fisch|Fischen	1539	md	1
Fisch|Fischen	1652	md	1
Fisch|Fischen	1722	NA	1
Fisch|Fischen	1828	NA	1
Rüblein	1687	obd	1
